graph,nn,two_opt,greedy,christofides,simulated_annealing,threshold_acceptingchristofides,simulated_annealing,threshold_accepting
gr431,0.0893876730001466,48.122033452000096,0.03815426000005573,9.129437763999931,0.4936186610000277,,0.4936186610000277,0.4956616839999697
gr48,0.0009888090000913508,0.06490391099987391,0.0007469600000149512,0.03791240300006393,0.059394904999862774,,0.059394904999862774,0.059032120999972904
gr666,0.2155990420001217,178.62294581700007,0.09246124600008443,22.970354011999916,0.9141694639999969,,0.9141694639999969,0.8741784260000713
gr96,0.0054061710000041785,0.46110568999984025,0.0027235519999067037,0.11566713000001982,0.11318345099994076,,0.11318345099994076,0.10892571599993062
hk48,0.0011109689999102557,0.06151721199989879,0.0007959489998938807,0.029318736000050194,0.06283957599998757,,0.06283957599998757,0.05843063599991183
kroA100,0.0051601650000066,0.5352945590000218,0.0028242040000350244,0.14259203999995407,0.11768493099998523,,0.11768493099998523,0.11750827099990602
kroA150,0.01326801000004707,1.9922616710000511,0.005711779999955979,0.4546180590000404,0.16814160699982494,,0.16814160699982494,0.17926207200002864
kroA200,0.024345491000076436,4.854875979000099,0.011976074999893171,0.9844625350001479,0.22452601299983144,,0.22452601299983144,0.22215688799997224
kroB100,0.004979667000043264,0.552792633000081,0.002503967999928136,0.11315454199984742,0.11872339399997145,,0.11872339399997145,0.11134989999982281
kroB150,0.016121196000085547,1.940729071000078,0.005786001000160468,0.49652600099989286,0.17244132800010448,,0.17244132800010448,0.16636153900003592
kroB200,0.02498242900014702,4.7916828920001535,0.01204531100006534,0.7546879879998869,0.23590954299993427,,0.23590954299993427,0.21987429900013922
kroC100,0.004784869999866714,0.537753529000156,0.0027189829997951165,0.13016961900007118,0.11394164600005752,,0.11394164600005752,0.11189046100002997
kroD100,0.00676530200007619,0.5667271790000541,0.0029749010000159615,0.13872841099987454,0.11929614900009256,,0.11929614900009256,0.11235223400012728
kroE100,0.004529436999973768,0.540925075999894,0.0027292600000237144,0.16863633699995262,0.12908156499997858,,0.12908156499997858,0.12515812899982848
lin105,0.005227356999967014,0.6394579349998821,0.0028681930000402645,0.14748504699991827,0.11942682200015042,,0.11942682200015042,0.12216502399996898
lin318,0.050073601000121926,19.15775136100001,0.02287659400008124,2.146890486000075,0.3582020530000136,,0.3582020530000136,0.3451040780000767
lin318,0.048798284999975294,19.169181792000018,0.024303210999960356,2.154831730999831,0.3580608969998593,,0.3580608969998593,0.34652464199984934
p654,0.2107895889998872,173.08018104200005,0.08573720599997614,3.3701231469999584,0.835164271999929,,0.835164271999929,0.7981984920002105
pa561.tsp,0.1734052619999602,95.12615673399978,0.06923904399991443,12.993089080000118,0.6589203219996307,,0.6589203219996307,0.6774562260002313
pcb442,0.1038272880000477,52.12928042800013,0.04624935999981972,5.062372331000006,0.5231533870000931,,0.5231533870000931,0.540603456000099
pr107,0.006959629999983008,0.6144320910002534,0.0029040180002084526,0.11218196999971042,0.12350464800010741,,0.12350464800010741,0.13276639800005796
pr124,0.007513145999837434,1.0313494970000647,0.0040577039999334374,0.11199450599997363,0.1439637670000593,,0.1439637670000593,0.14054544200007513
pr136,0.010136319999674015,1.3630013060001147,0.004381964000003791,0.11228546699976505,0.1623445840000386,,0.1623445840000386,0.15416039999990971
pr144,0.011682986999858258,1.472137505000319,0.005119375000049331,0.12614308399997753,0.16089813100006722,,0.16089813100006722,0.1618850689997089
pr152,0.014187651999691298,1.840904385000158,0.006447230000048876,0.1431332049996854,0.17471979199990528,,0.17471979199990528,0.17118656100001317
pr226,0.029806258999997226,6.275943305000055,0.011770869999963907,0.6101332490002278,0.24894931700009693,,0.24894931700009693,0.26032325799997125
pr264,0.034419660000367,9.756071045000226,0.02054577800026891,0.652227984000092,0.29528167999978905,,0.29528167999978905,0.3074432789999264
pr299,0.04727842900001633,15.876995973999783,0.025117879999925208,1.7665806820000398,0.35624969499986037,,0.35624969499986037,0.3477596010002344
pr439,0.09381519799990201,50.50187422299996,0.04120568999996976,2.8848243360002925,0.5121150569998463,,0.5121150569998463,0.5222924959998636
pr76,0.002808240000376827,0.216032493000057,0.0014206559999365709,0.05384268600028008,0.09173149699972782,,0.09173149699972782,0.09044068499997593
rat195,0.020581449000019347,3.6948543140001675,0.007042390000151499,0.5613045029999739,0.2218783850003092,,0.2218783850003092,0.21454881599993314
rat575,0.15386245699983192,113.18204484399985,0.06258281799955512,10.64980791700009,0.6883866760003912,,0.6883866760003912,0.6978900280000744
rat783,0.29202272400016227,295.02362417799986,0.12590066299981117,24.827756271999988,1.036206262000178,,1.036206262000178,1.0102864129999034
rat99,0.004704107000179647,0.529630693999934,0.002322084000297764,0.12105199799998445,0.11856627299994216,,0.11856627299994216,0.12279169199973694
rd100,0.005484738000177458,0.5684394949998932,0.0029990139996698417,0.2025149109999802,0.11800074699976904,,0.11800074699976904,0.12026403099980598
rd400,0.10939347099974839,41.29524054600006,0.04358914700014793,5.288477791999867,0.47388110300016706,,0.47388110300016706,0.4831845360004081
st70,0.0025112019998232427,0.17390334600031565,0.001373077000152989,0.058232502000009845,0.08373416199992789,,0.08373416199992789,0.08642531200030135
swiss42,0.0008541520001017489,0.042527460000201245,0.0009792410000954987,0.021083160000216594,0.05493148400000791,,0.05493148400000791,0.054802319000373245
ts225,0.02360675399995671,6.395036495000113,0.013115005000145175,0.2949603740003113,0.2525319490000584,,0.2525319490000584,0.24678531400013526
tsp225,0.024306503000389057,6.3875559070002055,0.010388193000380852,0.6528061510002772,0.23608748600008767,,0.23608748600008767,0.2573943560000771
u159,0.013158541999928275,2.2195141779998266,0.006252491999930498,0.3014459410001109,0.1743053569998665,,0.1743053569998665,0.17719296699988263
u574,0.16042124200021135,123.27219739299971,0.06962203500006581,10.340196213000127,0.6994072530001176,,0.6994072530001176,0.7106579159999455
u724,0.2733760699998129,241.72450416399988,0.12518369999997958,19.326071695000337,0.9220843210000567,,0.9220843210000567,0.9802439230002165
ulysses16.tsp,0.00014829299971097498,0.0018960749998768733,0.00011092899967479752,0.0022869659997013514,0.033720068000093306,,0.033720068000093306,0.04680769099968529
ulysses22.tsp,0.00044091499967180425,0.007984511999893584,0.00019368300036148867,0.00801323699988643,0.03586777099963001,,0.03586777099963001,0.03385548300002483
