optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 13, 9, 7, 11, 6, 15, 2, 4, 18, 19, 14, 12, 20, 17, 5, 8, 10, 16, 3, 1}",3.959304,0.134015,0.000167
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 10, 2, 14, 18, 15, 4, 12, 17, 7, 3, 9, 13, 6, 11, 19, 20, 16, 8, 5, 1}",4.642508,0.174343,0.000178
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 13, 4, 19, 11, 10, 12, 20, 5, 14, 15, 6, 9, 18, 17, 7, 2, 16, 3, 1}",4.803952,0.270566,0.000181
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 14, 17, 20, 7, 16, 2, 15, 18, 12, 9, 5, 6, 3, 11, 19, 13, 8, 4, 10, 1}",3.552645,0.053823,0.000185
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 17, 3, 14, 18, 6, 5, 10, 4, 20, 19, 7, 15, 9, 16, 8, 12, 11, 2, 13, 1}",4.067443,0.078766,0.000176
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 10, 7, 18, 9, 13, 5, 2, 12, 19, 17, 15, 14, 4, 11, 3, 20, 16, 6, 8, 1}",4.235234,0.039409,0.000186
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 19, 3, 2, 12, 9, 17, 11, 13, 18, 5, 16, 15, 4, 6, 10, 7, 14, 20, 8, 1}",3.564185,0.102836,0.000179
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 14, 19, 11, 18, 6, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 12, 13, 1}",3.925058,0.031127,0.000178
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 14, 19, 8, 10, 12, 15, 13, 16, 20, 11, 9, 4, 6, 7, 5, 18, 2, 17, 3, 1}",3.916252,0.101600,0.000183
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 18, 12, 13, 17, 4, 9, 14, 11, 19, 8, 15, 6, 2, 5, 16, 7, 3, 20, 10, 1}",4.604014,0.249219,0.000186
