optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 15, 3, 17, 19, 16, 8, 13, 14, 7, 20, 5, 4, 9, 6, 18, 10, 2, 12, 11, 1}",3.799545,0.000000,0.045427
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 8, 2, 13, 19, 11, 12, 9, 5, 10, 20, 3, 18, 4, 6, 15, 16, 14, 17, 7, 1}",3.931634,0.000000,0.045753
"{1, 4, 19, 11, 20, 14, 17, 16, 18, 6, 7, 8, 9, 3, 10, 12, 2, 5, 13, 15, 1}",3.515931,"{1, 15, 13, 5, 3, 12, 2, 10, 9, 7, 6, 18, 16, 17, 14, 20, 8, 11, 19, 4, 1}",3.621584,0.030050,0.045773
"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,"{1, 2, 12, 16, 13, 15, 11, 10, 9, 8, 14, 6, 19, 7, 4, 18, 5, 3, 20, 17, 1}",3.812864,0.000000,0.045617
"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,0.000000,0.045420
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 5, 11, 2, 4, 18, 12, 19, 15, 16, 3, 6, 14, 9, 20, 13, 17, 7, 8, 10, 1}",4.255004,0.022657,0.046699
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 20, 2, 3, 15, 12, 11, 16, 4, 7, 17, 5, 9, 6, 10, 14, 8, 18, 13, 19, 1}",4.014527,0.008903,0.046615
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 14, 10, 17, 4, 19, 5, 3, 12, 11, 6, 9, 16, 8, 20, 18, 15, 7, 13, 2, 1}",4.933322,0.031898,0.045385
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 9, 16, 7, 15, 12, 17, 3, 18, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.126029,0.011572,0.047344
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 16, 10, 9, 11, 2, 7, 20, 18, 8, 5, 6, 13, 17, 14, 4, 12, 19, 3, 15, 1}",4.397888,0.031732,0.046550
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 4, 2, 12, 11, 3, 7, 15, 13, 6, 10, 20, 16, 9, 17, 18, 8, 5, 19, 14, 1}",3.456365,0.000000,0.046786
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,0.000000,0.046662
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 14, 11, 7, 20, 15, 4, 2, 1}",4.029885,0.006276,0.046729
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 14, 9, 18, 17, 4, 2, 13, 6, 5, 8, 10, 19, 12, 20, 7, 16, 11, 3, 15, 1}",3.382039,0.000000,0.044662
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 5, 12, 10, 8, 20, 7, 4, 17, 15, 3, 9, 13, 14, 6, 18, 16, 19, 11, 2, 1}",4.110505,0.034723,0.044506
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 7, 5, 19, 8, 20, 11, 9, 17, 3, 18, 13, 6, 16, 10, 2, 15, 12, 14, 4, 1}",4.461778,0.005126,0.044874
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 16, 10, 20, 12, 14, 19, 8, 5, 17, 18, 4, 2, 15, 6, 7, 11, 9, 13, 1}",3.491404,0.000000,0.044117
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,0.000000,0.046825
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 19, 13, 4, 2, 7, 17, 15, 18, 6, 9, 14, 5, 20, 12, 10, 11, 16, 3, 1}",3.965677,0.048856,0.046828
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 10, 8, 13, 11, 19, 9, 5, 3, 6, 2, 15, 18, 12, 16, 7, 20, 17, 14, 4, 1}",3.481143,0.032614,0.045353
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 17, 3, 14, 18, 6, 16, 5, 10, 20, 4, 9, 19, 7, 15, 8, 12, 11, 2, 13, 1}",3.805683,0.009342,0.044245
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 10, 8, 6, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.072871,-0.000438,0.045558
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 19, 3, 2, 12, 9, 17, 11, 13, 15, 4, 18, 6, 5, 16, 10, 7, 20, 14, 8, 1}",3.231835,0.000000,0.044542
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,0.000000,0.044360
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 8, 19, 10, 12, 15, 13, 16, 20, 11, 9, 4, 6, 18, 2, 5, 7, 17, 3, 14, 1}",3.555058,0.000000,0.044110
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 2, 5, 6, 16, 8, 15, 14, 11, 19, 9, 4, 17, 13, 12, 7, 20, 3, 10, 18, 1}",3.685515,0.000000,0.044254
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 3, 10, 5, 12, 16, 18, 4, 6, 14, 2, 9, 19, 11, 7, 15, 20, 8, 13, 17, 1}",3.687425,0.014648,0.044134
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,0.000000,0.044073
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 19, 20, 12, 9, 10, 8, 16, 2, 13, 4, 14, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.651241,0.026388,0.045406
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 15, 9, 7, 3, 6, 13, 4, 16, 1}",3.519445,0.004787,0.044267
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,0.000000,0.044228
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 13, 15, 20, 7, 11, 5, 19, 18, 6, 12, 4, 14, 2, 3, 9, 17, 8, 10, 16, 1}",3.989491,0.000000,0.044006
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 20, 17, 19, 3, 9, 14, 10, 15, 16, 5, 12, 2, 18, 8, 11, 4, 13, 7, 6, 1}",3.445785,0.000000,0.044248
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 4, 3, 2, 15, 10, 11, 19, 14, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.250773,0.011002,0.044311
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 6, 7, 20, 11, 15, 2, 9, 13, 18, 16, 5, 14, 8, 10, 17, 12, 4, 3, 19, 1}",4.105695,0.000841,0.044421
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 9, 20, 10, 16, 11, 19, 4, 1}",4.184057,0.024101,0.044254
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 6, 13, 8, 17, 11, 9, 4, 18, 19, 2, 10, 7, 15, 3, 16, 20, 12, 5, 14, 1}",3.859335,0.009689,0.044102
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,0.000000,0.044116
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,0.000000,0.043946
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 17, 13, 6, 8, 12, 20, 7, 15, 19, 18, 10, 5, 14, 3, 16, 2, 11, 4, 9, 1}",4.331434,0.074954,0.044052
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,0.000000,0.044050
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 12, 14, 11, 6, 7, 20, 13, 1}",4.008654,0.010296,0.044583
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 3, 12, 4, 16, 13, 20, 14, 9, 17, 7, 18, 2, 10, 5, 15, 6, 19, 11, 8, 1}",3.466249,0.000000,0.044007
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 16, 6, 14, 17, 19, 13, 10, 20, 5, 4, 18, 2, 15, 9, 11, 3, 7, 8, 12, 1}",4.956631,0.033694,0.044178
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,0.000000,0.043986
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 13, 14, 9, 4, 16, 19, 20, 17, 3, 15, 2, 11, 18, 6, 10, 8, 5, 7, 12, 1}",3.516575,0.009693,0.044059
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 7, 10, 20, 17, 5, 2, 16, 13, 19, 14, 3, 12, 4, 11, 15, 18, 9, 6, 8, 1}",3.582066,0.012787,0.043983
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 11, 7, 6, 10, 19, 2, 15, 1}",3.939572,-0.000900,0.044389
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 5, 19, 11, 12, 10, 18, 15, 13, 20, 9, 4, 14, 16, 8, 6, 7, 3, 17, 2, 1}",3.248977,0.000000,0.044646
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 6, 5, 17, 3, 12, 8, 7, 11, 9, 4, 18, 16, 13, 10, 15, 19, 14, 2, 20, 1}",3.795019,0.008132,0.044442
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 4, 14, 10, 8, 12, 9, 17, 2, 19, 15, 6, 3, 16, 11, 5, 7, 13, 18, 20, 1}",3.535383,0.070759,0.044059
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 9, 13, 16, 7, 2, 5, 14, 10, 11, 20, 4, 18, 19, 17, 3, 12, 6, 8, 15, 1}",3.646290,0.000000,0.043982
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 4, 19, 6, 15, 18, 2, 16, 17, 11, 20, 3, 12, 13, 14, 8, 9, 10, 7, 5, 1}",4.115450,0.111363,0.044140
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 3, 13, 8, 20, 19, 18, 6, 4, 9, 15, 7, 14, 17, 11, 10, 16, 2, 12, 5, 1}",3.453677,0.014646,0.044232
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 8, 15, 9, 7, 6, 16, 17, 19, 13, 5, 11, 3, 2, 14, 18, 4, 12, 20, 10, 1}",4.003837,0.007489,0.044051
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 2, 18, 11, 19, 9, 8, 16, 17, 5, 20, 12, 13, 15, 6, 10, 14, 3, 7, 4, 1}",3.974557,0.001398,0.044006
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,0.000000,0.044095
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 13, 14, 6, 3, 12, 18, 15, 8, 1}",3.886510,0.042093,0.044033
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,0.000000,0.044287
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 4, 3, 11, 5, 13, 10, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 1}",3.735021,0.000622,0.044004
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 9, 11, 4, 16, 17, 5, 15, 14, 2, 10, 8, 6, 20, 12, 3, 18, 13, 7, 19, 1}",3.993387,0.017288,0.044054
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 15, 11, 8, 14, 3, 5, 4, 10, 13, 19, 20, 6, 17, 2, 12, 1}",4.233739,0.013415,0.044388
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 10, 2, 13, 20, 8, 17, 16, 9, 6, 18, 5, 3, 15, 11, 19, 14, 7, 12, 4, 1}",4.114958,0.027439,0.044117
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,0.000000,0.044410
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 16, 2, 20, 8, 5, 3, 12, 18, 10, 4, 15, 6, 7, 13, 14, 17, 9, 11, 19, 1}",4.069552,0.000000,0.044260
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 3, 17, 19, 8, 1}",3.200590,0.005463,0.043941
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 4, 3, 13, 5, 18, 8, 9, 6, 15, 14, 20, 11, 17, 7, 16, 12, 19, 2, 10, 1}",3.506426,0.000000,0.044144
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 19, 5, 11, 4, 8, 3, 13, 14, 12, 20, 18, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.605138,0.011239,0.044076
"{1, 9, 8, 3, 12, 2, 13, 4, 15, 20, 10, 18, 7, 14, 17, 6, 5, 11, 19, 16, 1}",4.005012,"{1, 16, 2, 11, 19, 5, 6, 17, 14, 15, 20, 7, 18, 10, 4, 13, 12, 3, 8, 9, 1}",4.391974,0.096620,0.043980
"{1, 12, 2, 16, 6, 15, 5, 7, 14, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.007835,"{1, 17, 18, 20, 9, 13, 3, 4, 11, 8, 19, 10, 14, 7, 5, 15, 6, 16, 2, 12, 1}",4.007836,0.000000,0.044296
"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 6, 10, 18, 2, 14, 3, 4, 7, 20, 16, 1}",3.340037,"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 2, 18, 6, 10, 3, 14, 4, 7, 20, 16, 1}",3.359715,0.005891,0.044044
"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,"{1, 8, 2, 19, 11, 7, 15, 20, 17, 13, 10, 16, 12, 5, 6, 3, 9, 18, 14, 4, 1}",3.765740,0.005121,0.043983
"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,0.000000,0.044259
"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 6, 7, 15, 9, 4, 13, 1}",3.947663,"{1, 5, 12, 18, 20, 6, 11, 19, 17, 2, 16, 8, 3, 10, 14, 7, 15, 9, 4, 13, 1}",3.979540,0.008075,0.044120
"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,"{1, 13, 20, 3, 18, 14, 6, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 1}",4.009904,0.022131,0.044361
"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,"{1, 4, 11, 6, 20, 13, 12, 19, 17, 9, 8, 5, 2, 10, 7, 14, 15, 18, 16, 3, 1}",4.024671,0.050732,0.044382
