optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 30, 20, 24, 4, 19, 14, 8, 1}",4.050708,"{1, 8, 28, 26, 9, 10, 17, 23, 15, 7, 22, 27, 21, 3, 6, 5, 29, 16, 11, 12, 2, 13, 25, 18, 30, 20, 24, 4, 19, 14, 1}",4.770320,0.177651,0.000101
"{1, 27, 8, 23, 4, 13, 9, 14, 26, 17, 19, 6, 24, 25, 16, 7, 30, 10, 18, 15, 22, 5, 20, 2, 21, 12, 29, 11, 3, 28, 1}",4.344605,"{1, 28, 3, 11, 29, 12, 21, 2, 20, 5, 22, 15, 18, 10, 30, 7, 16, 25, 24, 6, 19, 17, 26, 14, 9, 13, 8, 23, 4, 27, 1}",4.426635,0.018881,0.000101
"{1, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 18, 16, 1}",4.587878,"{1, 16, 18, 23, 7, 17, 22, 10, 20, 19, 27, 6, 29, 28, 11, 12, 2, 15, 25, 5, 3, 4, 9, 30, 14, 24, 26, 13, 21, 8, 1}",5.217324,0.137198,0.000114
"{1, 29, 30, 24, 14, 26, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 6, 28, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.594478,"{1, 29, 30, 24, 14, 26, 28, 6, 22, 5, 11, 27, 12, 13, 21, 16, 20, 2, 25, 19, 17, 4, 15, 9, 18, 7, 3, 23, 10, 8, 1}",5.601511,0.219183,0.000101
"{1, 6, 18, 13, 19, 29, 21, 25, 30, 15, 4, 16, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.759156,"{1, 27, 23, 6, 18, 19, 13, 12, 14, 5, 9, 8, 20, 3, 24, 17, 2, 25, 21, 29, 16, 22, 4, 15, 30, 7, 11, 10, 28, 26, 1}",6.217848,0.306502,0.000117
"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 1}",4.759961,"{1, 28, 20, 16, 9, 10, 26, 30, 21, 5, 24, 6, 13, 17, 15, 2, 12, 14, 23, 3, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 1}",5.582705,0.172847,0.000101
"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.661201,"{1, 17, 5, 16, 27, 7, 19, 14, 24, 11, 4, 26, 18, 2, 22, 3, 29, 20, 25, 21, 13, 15, 12, 10, 9, 23, 30, 6, 8, 28, 1}",5.470601,0.173646,0.000101
"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,"{1, 26, 5, 17, 4, 14, 2, 23, 25, 16, 24, 18, 7, 30, 3, 10, 6, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 1}",5.351508,0.121625,0.000101
"{1, 24, 23, 29, 30, 21, 6, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 13, 18, 14, 27, 20, 15, 25, 2, 11, 28, 19, 1}",4.084283,"{1, 29, 23, 30, 21, 6, 26, 19, 28, 11, 17, 10, 12, 8, 16, 5, 3, 7, 9, 22, 4, 2, 25, 14, 18, 13, 15, 27, 20, 24, 1}",4.670292,0.143479,0.000102
"{1, 8, 18, 16, 2, 11, 12, 27, 23, 22, 5, 17, 29, 26, 14, 15, 7, 30, 19, 28, 10, 3, 20, 6, 25, 24, 4, 21, 13, 9, 1}",5.373356,"{1, 9, 13, 21, 4, 25, 6, 20, 3, 28, 19, 14, 30, 7, 15, 29, 26, 8, 18, 16, 2, 11, 12, 27, 23, 22, 17, 5, 10, 24, 1}",6.584570,0.225411,0.000106
"{1, 12, 17, 15, 4, 23, 27, 20, 13, 3, 14, 16, 21, 22, 29, 19, 26, 25, 24, 2, 7, 6, 9, 18, 8, 5, 10, 11, 28, 30, 1}",4.703946,"{1, 12, 30, 17, 5, 10, 8, 18, 9, 14, 3, 16, 21, 13, 23, 4, 15, 11, 28, 7, 2, 24, 25, 22, 26, 19, 29, 20, 27, 6, 1}",6.793484,0.444210,0.000101
"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,"{1, 28, 6, 23, 20, 18, 19, 10, 9, 5, 12, 2, 24, 21, 11, 29, 14, 27, 30, 26, 3, 16, 15, 7, 25, 17, 13, 4, 8, 22, 1}",4.843078,0.137559,0.000101
