optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 9, 23, 7, 26, 30, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 20, 4, 1}",4.938670,"{1, 9, 26, 30, 7, 23, 18, 2, 24, 29, 13, 15, 4, 20, 12, 10, 21, 8, 5, 19, 27, 25, 16, 6, 28, 17, 3, 11, 22, 14, 1}",5.760220,0.166350,0.000263
"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 14, 17, 6, 22, 13, 15, 11, 12, 1}",4.134695,"{1, 29, 11, 13, 22, 6, 15, 14, 10, 17, 2, 20, 23, 18, 26, 3, 24, 27, 21, 8, 30, 4, 28, 5, 7, 25, 16, 19, 9, 12, 1}",4.301463,0.040334,0.000248
"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,"{1, 16, 14, 22, 25, 13, 3, 27, 6, 2, 17, 19, 20, 9, 28, 8, 23, 26, 10, 11, 12, 18, 4, 7, 21, 5, 29, 30, 15, 24, 1}",4.627701,0.106879,0.000256
"{1, 24, 5, 21, 19, 13, 7, 17, 27, 9, 10, 8, 29, 11, 2, 26, 3, 4, 12, 25, 20, 15, 30, 18, 28, 23, 14, 6, 22, 16, 1}",4.894875,"{1, 24, 5, 2, 26, 3, 4, 30, 15, 20, 25, 12, 11, 8, 29, 27, 9, 10, 17, 7, 13, 19, 21, 18, 28, 23, 14, 6, 22, 16, 1}",5.521684,0.128054,0.000266
"{1, 14, 28, 20, 8, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 1}",5.068324,"{1, 21, 8, 20, 16, 18, 24, 6, 22, 28, 14, 12, 15, 7, 19, 3, 11, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 1}",5.521155,0.089345,0.000256
"{1, 3, 30, 29, 7, 9, 14, 16, 27, 25, 4, 18, 28, 15, 10, 2, 26, 5, 13, 23, 8, 17, 11, 22, 21, 6, 12, 19, 20, 24, 1}",4.183873,"{1, 24, 20, 19, 12, 6, 21, 8, 23, 13, 17, 11, 22, 18, 28, 15, 10, 2, 5, 26, 29, 30, 7, 4, 25, 27, 16, 9, 14, 3, 1}",4.823541,0.152889,0.000265
"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,"{1, 20, 27, 14, 5, 26, 16, 7, 12, 30, 6, 28, 3, 4, 22, 21, 8, 29, 15, 19, 23, 18, 9, 24, 13, 2, 25, 10, 11, 17, 1}",5.540899,0.217092,0.000263
"{1, 7, 21, 29, 3, 14, 8, 24, 16, 19, 20, 15, 30, 6, 18, 27, 9, 26, 5, 28, 25, 12, 4, 17, 23, 22, 11, 10, 13, 2, 1}",4.688631,"{1, 11, 22, 23, 7, 21, 29, 30, 6, 18, 27, 9, 26, 28, 5, 17, 4, 12, 25, 15, 20, 14, 3, 8, 24, 16, 19, 13, 10, 2, 1}",5.728581,0.221803,0.000261
"{1, 2, 29, 11, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 21, 12, 10, 9, 8, 26, 22, 13, 30, 1}",4.333652,"{1, 2, 29, 11, 5, 28, 14, 25, 27, 21, 24, 18, 15, 7, 23, 4, 16, 9, 8, 10, 12, 6, 20, 17, 19, 3, 30, 13, 22, 26, 1}",5.225715,0.205846,0.000303
"{1, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 15, 28, 3, 7, 1}",4.403530,"{1, 7, 20, 3, 27, 8, 18, 12, 17, 23, 30, 14, 13, 11, 22, 5, 9, 10, 29, 26, 21, 6, 4, 16, 24, 25, 19, 2, 28, 15, 1}",5.178447,0.175976,0.000263
