optimal_tour,optimal_tour_length,3opt_tour,3opt_tour_length,score,time
"{1, 9, 23, 7, 26, 30, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 20, 4, 1}",4.938670,"{1, 9, 7, 23, 18, 2, 24, 29, 13, 20, 4, 15, 12, 21, 10, 5, 8, 27, 19, 25, 16, 6, 28, 17, 22, 3, 11, 14, 30, 26, 1}",4.974079,0.007170,0.849690
"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 14, 17, 6, 22, 13, 15, 11, 12, 1}",4.134695,"{1, 29, 9, 12, 11, 15, 14, 10, 17, 6, 22, 13, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 1}",4.319500,0.044696,0.423384
"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,0.000000,0.214341
"{1, 24, 5, 21, 19, 13, 7, 17, 27, 9, 10, 8, 29, 11, 2, 26, 3, 4, 12, 25, 20, 15, 30, 18, 28, 23, 14, 6, 22, 16, 1}",4.894875,"{1, 16, 22, 6, 14, 23, 28, 18, 4, 30, 15, 20, 25, 12, 11, 29, 8, 10, 9, 27, 17, 7, 13, 19, 21, 24, 5, 2, 26, 3, 1}",5.032225,0.028060,1.277510
"{1, 14, 28, 20, 8, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 1}",5.068324,"{1, 7, 15, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 20, 8, 24, 18, 16, 6, 22, 28, 14, 12, 1}",5.147997,0.015720,0.426470
"{1, 3, 30, 29, 7, 9, 14, 16, 27, 25, 4, 18, 28, 15, 10, 2, 26, 5, 13, 23, 8, 17, 11, 22, 21, 6, 12, 19, 20, 24, 1}",4.183873,"{1, 24, 20, 19, 12, 6, 21, 22, 11, 17, 8, 23, 13, 5, 26, 2, 10, 15, 28, 18, 4, 25, 27, 16, 14, 9, 7, 29, 30, 3, 1}",4.183873,0.000000,0.633108
"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,0.000000,1.073658
"{1, 7, 21, 29, 3, 14, 8, 24, 16, 19, 20, 15, 30, 6, 18, 27, 9, 26, 5, 28, 25, 12, 4, 17, 23, 22, 11, 10, 13, 2, 1}",4.688631,"{1, 11, 22, 23, 17, 4, 12, 25, 28, 5, 26, 9, 27, 18, 6, 30, 29, 21, 7, 3, 14, 15, 20, 19, 16, 24, 8, 2, 13, 10, 1}",4.776263,0.018690,0.214487
"{1, 2, 29, 11, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 21, 12, 10, 9, 8, 26, 22, 13, 30, 1}",4.333652,"{1, 30, 13, 17, 19, 3, 20, 6, 12, 10, 21, 27, 25, 14, 28, 5, 24, 18, 15, 7, 23, 4, 16, 9, 8, 11, 29, 2, 26, 22, 1}",4.420986,0.020152,0.640700
"{1, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 15, 28, 3, 7, 1}",4.403530,"{1, 7, 3, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 28, 15, 1}",4.460648,0.012971,1.068524
