optimal_tour,optimal_tour_length,simulated_annealing_tour,simulated_annealing_tour_length,score,time
"{1, 20, 24, 5, 16, 13, 19, 21, 14, 28, 2, 15, 7, 6, 25, 29, 26, 17, 30, 3, 11, 23, 27, 18, 12, 10, 4, 9, 8, 22, 1}",4.467484,"{1, 20, 24, 5, 16, 13, 19, 21, 14, 28, 2, 15, 7, 6, 25, 29, 26, 17, 30, 27, 3, 11, 23, 18, 12, 10, 4, 9, 8, 22, 1}",4.514932,0.010621,0.059570
"{1, 24, 29, 30, 27, 28, 20, 10, 13, 7, 3, 22, 2, 15, 25, 9, 17, 21, 16, 11, 6, 19, 5, 8, 14, 26, 23, 4, 18, 12, 1}",4.524282,"{1, 27, 28, 20, 10, 13, 7, 30, 24, 29, 2, 22, 3, 15, 25, 9, 17, 21, 16, 11, 6, 19, 5, 8, 14, 26, 23, 4, 18, 12, 1}",4.593629,0.015328,0.057943
"{1, 2, 30, 17, 15, 13, 7, 12, 29, 28, 27, 5, 25, 22, 21, 18, 4, 11, 24, 26, 20, 19, 6, 10, 23, 16, 8, 14, 3, 9, 1}",4.534199,"{1, 2, 30, 17, 15, 13, 7, 12, 29, 28, 27, 5, 22, 21, 18, 25, 4, 11, 24, 26, 20, 19, 6, 10, 23, 16, 8, 14, 3, 9, 1}",4.590867,0.012498,0.057919
"{1, 5, 14, 2, 4, 16, 6, 22, 19, 27, 8, 7, 3, 18, 9, 17, 12, 24, 26, 15, 23, 21, 11, 13, 29, 28, 30, 25, 20, 10, 1}",4.608246,"{1, 10, 20, 25, 30, 28, 29, 11, 21, 8, 7, 23, 15, 26, 24, 12, 17, 9, 18, 3, 19, 22, 27, 13, 6, 16, 4, 2, 14, 5, 1}",5.095076,0.105643,0.058073
"{1, 2, 3, 13, 28, 21, 4, 24, 8, 22, 29, 27, 23, 9, 30, 20, 14, 10, 18, 15, 7, 25, 16, 12, 6, 17, 11, 19, 26, 5, 1}",4.481452,"{1, 2, 3, 13, 28, 21, 29, 27, 23, 9, 30, 20, 14, 18, 15, 7, 25, 16, 12, 6, 17, 11, 19, 26, 10, 22, 4, 24, 8, 5, 1}",4.759283,0.061996,0.057919
"{1, 29, 11, 24, 23, 25, 13, 9, 6, 19, 28, 26, 5, 2, 14, 22, 7, 17, 20, 8, 18, 30, 4, 10, 27, 15, 21, 3, 16, 12, 1}",4.506679,"{1, 12, 3, 21, 27, 15, 17, 7, 16, 6, 19, 28, 26, 5, 2, 14, 22, 20, 8, 18, 30, 4, 10, 11, 24, 23, 25, 13, 9, 29, 1}",5.453130,0.210011,0.058017
"{1, 12, 24, 23, 5, 20, 17, 3, 15, 16, 28, 10, 29, 6, 8, 22, 4, 14, 27, 25, 11, 26, 9, 2, 21, 18, 30, 7, 19, 13, 1}",4.185934,"{1, 12, 24, 23, 5, 20, 17, 3, 15, 16, 28, 10, 29, 6, 8, 4, 22, 27, 14, 11, 25, 26, 9, 2, 21, 18, 30, 7, 19, 13, 1}",4.200432,0.003464,0.058694
"{1, 24, 29, 17, 18, 3, 27, 12, 9, 16, 5, 30, 25, 8, 23, 14, 15, 26, 7, 21, 20, 13, 4, 10, 6, 22, 11, 19, 2, 28, 1}",4.816244,"{1, 24, 29, 17, 18, 3, 27, 12, 9, 16, 30, 25, 8, 23, 14, 5, 15, 26, 7, 21, 20, 13, 4, 10, 6, 22, 11, 19, 2, 28, 1}",5.008339,0.039885,0.057978
"{1, 12, 15, 25, 17, 23, 30, 20, 16, 29, 27, 2, 14, 18, 19, 7, 6, 3, 5, 24, 8, 22, 28, 10, 11, 4, 26, 9, 21, 13, 1}",4.390952,"{1, 3, 24, 5, 6, 7, 19, 18, 8, 22, 10, 14, 2, 27, 29, 16, 20, 30, 23, 17, 25, 15, 12, 11, 4, 28, 26, 9, 21, 13, 1}",4.578906,0.042805,0.058670
"{1, 18, 20, 8, 12, 9, 17, 14, 21, 27, 30, 11, 4, 10, 13, 24, 28, 5, 26, 16, 15, 6, 23, 25, 19, 3, 7, 29, 22, 2, 1}",4.578163,"{1, 8, 20, 18, 17, 12, 9, 14, 21, 11, 30, 4, 10, 13, 24, 28, 26, 5, 27, 19, 25, 23, 16, 15, 6, 3, 7, 29, 22, 2, 1}",4.736076,0.034493,0.057938
"{1, 28, 6, 8, 29, 27, 17, 26, 3, 5, 7, 11, 18, 13, 10, 20, 21, 19, 4, 25, 15, 16, 9, 24, 30, 23, 12, 2, 14, 22, 1}",5.089520,"{1, 28, 6, 8, 29, 27, 26, 17, 2, 12, 10, 7, 3, 5, 11, 18, 13, 20, 21, 19, 4, 25, 15, 16, 9, 24, 30, 23, 14, 22, 1}",5.305292,0.042395,0.058422
"{1, 3, 11, 7, 30, 6, 22, 10, 28, 17, 23, 5, 13, 2, 24, 18, 27, 12, 9, 8, 20, 15, 14, 21, 25, 16, 26, 4, 29, 19, 1}",4.339172,"{1, 29, 26, 16, 25, 15, 20, 8, 9, 12, 27, 14, 21, 18, 24, 2, 13, 5, 23, 17, 28, 10, 22, 6, 30, 7, 11, 3, 4, 19, 1}",4.408993,0.016091,0.057934
"{1, 7, 25, 18, 21, 11, 19, 28, 15, 6, 22, 13, 29, 4, 8, 26, 20, 23, 9, 5, 30, 14, 16, 2, 24, 12, 27, 17, 3, 10, 1}",4.450202,"{1, 7, 25, 18, 21, 11, 19, 28, 15, 22, 13, 29, 4, 6, 8, 26, 20, 5, 30, 14, 16, 2, 24, 9, 23, 12, 27, 17, 3, 10, 1}",4.598958,0.033427,0.059640
"{1, 24, 26, 21, 11, 29, 5, 30, 20, 28, 16, 17, 22, 8, 2, 27, 7, 25, 4, 15, 19, 14, 12, 13, 3, 9, 23, 18, 10, 6, 1}",4.814254,"{1, 6, 11, 3, 10, 18, 23, 9, 13, 12, 14, 19, 16, 28, 17, 15, 4, 7, 27, 2, 25, 8, 22, 20, 30, 5, 29, 21, 26, 24, 1}",5.189892,0.078026,0.058184
"{1, 25, 26, 4, 30, 21, 19, 7, 10, 15, 18, 17, 28, 16, 29, 8, 13, 14, 11, 24, 22, 5, 23, 27, 2, 3, 20, 12, 9, 6, 1}",4.659213,"{1, 26, 4, 30, 21, 19, 10, 7, 2, 27, 28, 17, 18, 15, 29, 16, 8, 13, 14, 11, 23, 24, 22, 5, 3, 20, 25, 12, 9, 6, 1}",5.082773,0.090908,0.058146
"{1, 4, 20, 24, 10, 18, 16, 14, 13, 29, 8, 12, 17, 26, 15, 2, 9, 7, 30, 5, 3, 25, 22, 6, 21, 19, 28, 11, 27, 23, 1}",4.360696,"{1, 10, 24, 16, 14, 13, 18, 29, 8, 12, 17, 26, 15, 2, 9, 7, 30, 5, 3, 25, 22, 6, 21, 19, 28, 11, 27, 23, 4, 20, 1}",4.415328,0.012528,0.058008
"{1, 7, 29, 23, 21, 12, 13, 16, 14, 28, 5, 9, 19, 11, 4, 22, 17, 20, 18, 15, 25, 24, 30, 8, 26, 3, 6, 10, 27, 2, 1}",4.651622,"{1, 2, 27, 7, 29, 23, 21, 12, 13, 16, 14, 28, 5, 3, 6, 25, 24, 20, 15, 18, 17, 22, 4, 30, 8, 26, 19, 11, 9, 10, 1}",5.080776,0.092259,0.058034
"{1, 20, 9, 7, 19, 28, 15, 25, 4, 21, 2, 22, 10, 3, 26, 14, 18, 12, 24, 17, 13, 27, 8, 11, 23, 6, 30, 16, 5, 29, 1}",4.550376,"{1, 29, 5, 16, 30, 6, 23, 11, 8, 27, 13, 17, 24, 12, 18, 14, 26, 3, 4, 10, 22, 2, 21, 19, 7, 9, 20, 28, 25, 15, 1}",4.692774,0.031294,0.058577
"{1, 10, 28, 8, 22, 4, 16, 12, 23, 21, 27, 25, 9, 18, 26, 20, 30, 29, 17, 5, 6, 14, 13, 15, 24, 2, 19, 3, 7, 11, 1}",4.601614,"{1, 11, 7, 3, 19, 2, 24, 15, 13, 14, 26, 18, 9, 25, 27, 21, 23, 12, 16, 4, 8, 28, 22, 30, 20, 6, 5, 29, 17, 10, 1}",4.780035,0.038773,0.058214
"{1, 16, 7, 6, 18, 29, 24, 25, 3, 8, 20, 13, 28, 14, 27, 11, 15, 12, 21, 17, 2, 26, 22, 23, 5, 10, 30, 4, 19, 9, 1}",5.037055,"{1, 16, 7, 6, 18, 29, 9, 19, 4, 10, 30, 27, 11, 14, 20, 24, 25, 3, 8, 13, 28, 15, 2, 12, 21, 17, 26, 22, 23, 5, 1}",5.329275,0.058014,0.059253
"{1, 8, 3, 13, 6, 11, 5, 29, 9, 7, 16, 24, 22, 19, 21, 23, 26, 2, 4, 14, 27, 25, 28, 30, 12, 10, 20, 18, 17, 15, 1}",4.839417,"{1, 8, 3, 13, 11, 9, 29, 7, 16, 5, 6, 24, 22, 19, 21, 23, 26, 2, 4, 14, 28, 27, 25, 30, 12, 10, 20, 18, 17, 15, 1}",4.941912,0.021179,0.058118
"{1, 27, 3, 13, 21, 20, 11, 30, 4, 9, 18, 10, 23, 7, 28, 12, 22, 19, 24, 6, 14, 16, 15, 25, 17, 29, 2, 8, 5, 26, 1}",4.415566,"{1, 26, 5, 8, 2, 7, 17, 29, 25, 15, 16, 14, 6, 24, 22, 12, 19, 28, 18, 10, 23, 9, 4, 30, 11, 20, 21, 13, 3, 27, 1}",4.828308,0.093474,0.060371
"{1, 21, 3, 18, 23, 7, 26, 6, 5, 13, 9, 30, 20, 27, 15, 24, 2, 10, 17, 22, 25, 4, 12, 29, 16, 8, 11, 19, 14, 28, 1}",4.273663,"{1, 23, 18, 3, 21, 28, 12, 14, 19, 11, 8, 16, 29, 4, 25, 17, 10, 2, 24, 15, 27, 20, 30, 9, 13, 5, 6, 26, 7, 22, 1}",4.460749,0.043777,0.058079
"{1, 28, 12, 25, 29, 21, 18, 7, 2, 13, 27, 6, 10, 3, 14, 5, 11, 8, 16, 20, 4, 30, 9, 24, 22, 17, 19, 15, 23, 26, 1}",4.587460,"{1, 25, 13, 27, 2, 7, 18, 21, 29, 12, 28, 26, 23, 19, 9, 30, 4, 20, 16, 8, 24, 22, 11, 5, 14, 3, 10, 6, 17, 15, 1}",5.397018,0.176472,0.057982
"{1, 21, 5, 17, 26, 8, 25, 9, 22, 12, 6, 23, 30, 27, 13, 2, 14, 18, 10, 20, 15, 19, 4, 16, 7, 28, 29, 3, 11, 24, 1}",4.988961,"{1, 23, 12, 6, 30, 27, 13, 2, 7, 16, 4, 14, 18, 19, 10, 20, 15, 9, 22, 25, 8, 26, 17, 5, 21, 11, 3, 29, 28, 24, 1}",5.282167,0.058771,0.060105
"{1, 19, 14, 11, 20, 3, 12, 25, 29, 9, 2, 16, 23, 18, 8, 10, 5, 7, 15, 6, 4, 22, 17, 26, 13, 27, 24, 28, 30, 21, 1}",4.568967,"{1, 19, 14, 11, 20, 3, 12, 25, 29, 9, 2, 16, 23, 18, 8, 10, 5, 7, 15, 6, 4, 22, 17, 26, 13, 27, 24, 28, 30, 21, 1}",4.568967,0.000000,0.057901
"{1, 12, 17, 19, 18, 5, 23, 3, 13, 21, 22, 2, 14, 10, 16, 30, 15, 11, 29, 4, 7, 28, 26, 24, 6, 20, 25, 8, 9, 27, 1}",5.039966,"{1, 12, 6, 20, 25, 8, 27, 9, 30, 15, 11, 16, 10, 29, 14, 2, 21, 22, 4, 7, 13, 28, 26, 24, 3, 23, 5, 18, 19, 17, 1}",5.394979,0.070440,0.060065
"{1, 30, 9, 17, 6, 26, 21, 18, 25, 12, 10, 29, 2, 28, 20, 5, 3, 15, 13, 19, 27, 7, 23, 16, 14, 8, 24, 11, 22, 4, 1}",4.318985,"{1, 11, 22, 4, 19, 24, 8, 14, 16, 23, 7, 27, 13, 15, 3, 5, 28, 2, 20, 29, 10, 12, 25, 18, 21, 26, 6, 17, 9, 30, 1}",4.552223,0.054003,0.058423
"{1, 16, 12, 28, 19, 21, 11, 29, 9, 27, 15, 20, 2, 14, 6, 10, 17, 30, 7, 26, 25, 13, 24, 5, 23, 22, 3, 18, 4, 8, 1}",4.306581,"{1, 18, 8, 4, 3, 22, 23, 5, 24, 13, 25, 26, 7, 30, 17, 10, 6, 27, 15, 14, 2, 20, 9, 29, 11, 21, 19, 28, 12, 16, 1}",4.367714,0.014195,0.058849
"{1, 17, 18, 13, 8, 23, 7, 9, 26, 27, 10, 16, 19, 22, 28, 20, 11, 6, 21, 30, 2, 29, 4, 25, 24, 12, 15, 14, 3, 5, 1}",5.473479,"{1, 14, 12, 15, 17, 18, 13, 8, 23, 7, 9, 6, 21, 11, 20, 30, 2, 29, 28, 27, 26, 10, 16, 19, 22, 4, 25, 24, 3, 5, 1}",5.925493,0.082583,0.058113
"{1, 29, 24, 28, 23, 10, 17, 2, 19, 11, 21, 30, 15, 25, 20, 26, 5, 22, 3, 6, 12, 8, 16, 9, 7, 14, 4, 27, 13, 18, 1}",4.334750,"{1, 27, 4, 9, 14, 7, 16, 13, 8, 6, 3, 12, 22, 5, 25, 15, 30, 21, 11, 19, 2, 17, 24, 29, 28, 10, 23, 20, 26, 18, 1}",5.045702,0.164012,0.058316
"{1, 26, 8, 18, 29, 2, 13, 19, 21, 11, 4, 30, 7, 12, 17, 23, 5, 16, 6, 15, 24, 27, 20, 14, 3, 25, 22, 9, 10, 28, 1}",4.533752,"{1, 28, 29, 18, 7, 12, 17, 5, 23, 8, 26, 16, 6, 15, 24, 27, 20, 14, 3, 25, 22, 11, 21, 19, 4, 30, 13, 2, 9, 10, 1}",4.644587,0.024447,0.058320
"{1, 22, 8, 5, 29, 28, 23, 9, 7, 26, 16, 30, 12, 24, 19, 4, 13, 25, 6, 18, 27, 10, 11, 14, 3, 20, 2, 15, 17, 21, 1}",4.897334,"{1, 22, 8, 5, 29, 7, 26, 9, 28, 23, 27, 16, 30, 18, 12, 24, 19, 4, 13, 25, 6, 10, 11, 14, 3, 17, 15, 20, 2, 21, 1}",5.073128,0.035896,0.060160
"{1, 4, 28, 2, 26, 8, 17, 9, 19, 25, 6, 30, 12, 13, 14, 23, 27, 22, 21, 29, 20, 3, 24, 18, 5, 11, 16, 10, 15, 7, 1}",4.616867,"{1, 7, 15, 10, 2, 28, 16, 5, 18, 24, 11, 29, 3, 20, 22, 27, 21, 23, 14, 13, 12, 30, 6, 25, 19, 9, 17, 8, 26, 4, 1}",4.673452,0.012256,0.057882
"{1, 9, 4, 28, 7, 10, 15, 25, 30, 5, 13, 16, 19, 14, 23, 2, 6, 22, 20, 3, 8, 18, 24, 21, 27, 29, 12, 11, 26, 17, 1}",4.657478,"{1, 17, 26, 11, 12, 29, 27, 24, 18, 8, 20, 21, 22, 6, 2, 3, 14, 23, 19, 30, 25, 5, 16, 13, 15, 10, 7, 28, 4, 9, 1}",4.886951,0.049270,0.057882
"{1, 29, 3, 4, 5, 9, 13, 27, 17, 19, 2, 21, 8, 28, 20, 22, 24, 25, 12, 23, 14, 10, 15, 6, 11, 16, 7, 26, 18, 30, 1}",4.419725,"{1, 30, 18, 14, 10, 15, 6, 11, 16, 7, 26, 29, 3, 5, 9, 13, 27, 17, 19, 2, 21, 8, 28, 20, 4, 22, 24, 25, 12, 23, 1}",4.496026,0.017264,0.058152
"{1, 13, 4, 27, 9, 19, 26, 21, 25, 8, 14, 3, 11, 5, 23, 16, 20, 22, 30, 15, 2, 10, 6, 7, 17, 18, 12, 28, 29, 24, 1}",4.531234,"{1, 24, 6, 7, 17, 18, 12, 28, 29, 4, 27, 9, 13, 19, 26, 21, 25, 3, 11, 5, 23, 16, 20, 22, 30, 15, 2, 10, 14, 8, 1}",5.080124,0.121135,0.057853
"{1, 24, 3, 29, 10, 27, 8, 7, 13, 28, 23, 9, 25, 4, 12, 16, 18, 6, 21, 2, 17, 26, 14, 5, 20, 22, 15, 19, 11, 30, 1}",4.148454,"{1, 30, 11, 19, 15, 22, 20, 5, 26, 14, 17, 2, 21, 6, 28, 23, 9, 25, 18, 16, 12, 4, 7, 8, 13, 27, 10, 29, 3, 24, 1}",4.185442,0.008916,0.058059
"{1, 12, 9, 10, 20, 14, 21, 22, 23, 3, 30, 2, 18, 4, 26, 25, 24, 8, 29, 27, 16, 5, 15, 6, 28, 19, 13, 11, 7, 17, 1}",4.392198,"{1, 17, 7, 11, 13, 12, 9, 10, 15, 28, 19, 6, 5, 16, 27, 29, 8, 24, 25, 26, 4, 18, 21, 22, 2, 30, 3, 23, 14, 20, 1}",4.600400,0.047403,0.057748
"{1, 27, 2, 23, 14, 16, 12, 29, 28, 21, 24, 20, 4, 3, 25, 13, 6, 30, 18, 10, 26, 17, 9, 8, 5, 22, 19, 7, 15, 11, 1}",4.496222,"{1, 27, 2, 23, 14, 29, 12, 16, 15, 7, 5, 22, 19, 28, 21, 24, 20, 4, 3, 25, 13, 6, 30, 18, 10, 26, 17, 9, 8, 11, 1}",4.622909,0.028176,0.058007
"{1, 16, 19, 3, 10, 4, 26, 20, 28, 23, 14, 22, 29, 18, 8, 21, 15, 24, 17, 6, 9, 13, 27, 7, 30, 5, 12, 25, 11, 2, 1}",4.637604,"{1, 2, 11, 19, 25, 12, 5, 30, 7, 27, 13, 17, 9, 6, 24, 15, 21, 8, 20, 18, 29, 22, 14, 23, 28, 26, 4, 3, 10, 16, 1}",4.784359,0.031645,0.058130
"{1, 22, 27, 23, 7, 6, 11, 18, 3, 17, 4, 19, 20, 8, 24, 14, 10, 28, 30, 2, 25, 12, 5, 26, 29, 15, 9, 21, 16, 13, 1}",4.233047,"{1, 13, 16, 27, 23, 21, 9, 15, 29, 26, 5, 12, 25, 2, 30, 28, 10, 14, 24, 8, 20, 19, 4, 17, 3, 18, 11, 6, 7, 22, 1}",4.267534,0.008147,0.059390
"{1, 2, 9, 24, 15, 11, 10, 20, 30, 4, 6, 19, 29, 18, 28, 26, 21, 22, 3, 7, 16, 17, 13, 23, 25, 12, 14, 5, 27, 8, 1}",4.250256,"{1, 8, 27, 5, 14, 12, 25, 23, 13, 17, 16, 7, 3, 22, 21, 26, 28, 18, 15, 11, 19, 29, 6, 4, 30, 20, 10, 24, 9, 2, 1}",4.377153,0.029856,0.057957
"{1, 14, 12, 8, 30, 23, 7, 25, 28, 20, 24, 9, 26, 15, 5, 22, 2, 29, 16, 13, 4, 6, 27, 17, 10, 19, 11, 3, 21, 18, 1}",4.491560,"{1, 18, 21, 3, 11, 19, 10, 17, 27, 6, 4, 13, 16, 2, 29, 22, 5, 15, 26, 9, 24, 20, 28, 25, 7, 23, 30, 8, 12, 14, 1}",4.514970,0.005212,0.059034
"{1, 22, 27, 10, 4, 18, 28, 15, 21, 16, 12, 30, 25, 3, 24, 5, 2, 8, 6, 11, 26, 19, 13, 29, 7, 17, 20, 23, 9, 14, 1}",4.710651,"{1, 23, 20, 26, 19, 13, 11, 6, 8, 5, 2, 30, 12, 16, 21, 15, 28, 18, 27, 10, 4, 25, 3, 24, 29, 7, 17, 9, 14, 22, 1}",5.081283,0.078679,0.057720
"{1, 8, 10, 13, 14, 7, 23, 20, 26, 24, 21, 19, 5, 22, 3, 27, 28, 12, 4, 25, 6, 29, 9, 17, 16, 11, 18, 15, 30, 2, 1}",4.636555,"{1, 10, 13, 8, 11, 19, 24, 21, 14, 7, 23, 20, 26, 27, 3, 28, 12, 4, 25, 22, 5, 6, 29, 9, 17, 16, 18, 15, 30, 2, 1}",5.486351,0.183282,0.057821
"{1, 30, 23, 7, 8, 29, 9, 21, 20, 17, 27, 10, 25, 2, 13, 22, 12, 15, 5, 24, 28, 26, 19, 4, 3, 6, 18, 14, 11, 16, 1}",4.913603,"{1, 30, 23, 7, 8, 29, 9, 21, 20, 17, 27, 10, 25, 2, 13, 22, 12, 15, 5, 24, 28, 26, 19, 3, 6, 18, 14, 4, 11, 16, 1}",4.948283,0.007058,0.059732
"{1, 17, 22, 28, 6, 18, 16, 3, 27, 19, 7, 12, 26, 24, 20, 14, 9, 10, 11, 5, 30, 23, 15, 25, 29, 4, 13, 2, 8, 21, 1}",5.002481,"{1, 7, 19, 6, 28, 11, 10, 18, 16, 3, 27, 12, 26, 24, 20, 14, 9, 5, 30, 23, 15, 25, 29, 4, 13, 2, 8, 21, 22, 17, 1}",5.245685,0.048617,0.060157
"{1, 6, 29, 24, 27, 28, 2, 7, 3, 17, 22, 25, 20, 11, 9, 5, 23, 4, 10, 30, 26, 13, 21, 16, 14, 18, 15, 8, 19, 12, 1}",4.694303,"{1, 6, 24, 27, 28, 7, 2, 22, 3, 17, 25, 9, 5, 23, 4, 11, 20, 29, 19, 8, 30, 26, 10, 13, 21, 16, 14, 18, 15, 12, 1}",5.359894,0.141787,0.057925
"{1, 24, 18, 25, 7, 9, 12, 16, 26, 29, 19, 23, 13, 28, 10, 14, 8, 15, 30, 6, 27, 5, 22, 3, 21, 11, 20, 2, 4, 17, 1}",4.844014,"{1, 24, 18, 25, 7, 9, 12, 16, 26, 29, 19, 23, 13, 28, 10, 14, 8, 15, 30, 6, 27, 5, 22, 3, 21, 11, 20, 2, 4, 17, 1}",4.844014,0.000000,0.060105
"{1, 9, 28, 11, 21, 13, 3, 16, 27, 12, 20, 4, 29, 24, 10, 30, 15, 8, 22, 19, 26, 14, 23, 5, 7, 6, 17, 18, 25, 2, 1}",4.877135,"{1, 2, 25, 18, 17, 23, 6, 7, 5, 14, 26, 19, 22, 8, 15, 30, 10, 24, 29, 4, 20, 12, 27, 16, 3, 13, 21, 11, 28, 9, 1}",4.955940,0.016158,0.059992
"{1, 13, 14, 7, 22, 21, 5, 15, 27, 24, 9, 19, 16, 20, 12, 4, 30, 6, 18, 3, 8, 17, 28, 25, 29, 26, 2, 23, 10, 11, 1}",4.795885,"{1, 11, 10, 2, 26, 29, 25, 28, 17, 8, 3, 23, 18, 6, 30, 4, 12, 20, 16, 19, 9, 24, 27, 15, 5, 13, 21, 22, 7, 14, 1}",5.085112,0.060307,0.060605
"{1, 18, 24, 8, 7, 19, 21, 13, 30, 26, 17, 23, 16, 20, 15, 2, 4, 25, 3, 6, 11, 9, 29, 27, 22, 14, 12, 10, 5, 28, 1}",4.518984,"{1, 18, 24, 8, 21, 13, 30, 26, 17, 23, 16, 20, 15, 2, 9, 29, 4, 25, 3, 6, 11, 10, 5, 28, 12, 14, 27, 22, 19, 7, 1}",4.749811,0.051079,0.060001
"{1, 9, 29, 14, 26, 24, 12, 17, 15, 20, 7, 11, 2, 6, 23, 28, 10, 13, 27, 5, 30, 19, 8, 22, 16, 18, 3, 4, 21, 25, 1}",5.185128,"{1, 21, 4, 3, 18, 16, 22, 8, 19, 30, 5, 27, 13, 10, 28, 23, 7, 6, 2, 11, 20, 15, 17, 12, 24, 26, 25, 14, 29, 9, 1}",5.293085,0.020820,0.059913
"{1, 11, 18, 3, 21, 7, 26, 10, 28, 19, 2, 17, 14, 16, 30, 29, 20, 27, 15, 13, 9, 4, 24, 8, 25, 22, 5, 12, 6, 23, 1}",4.633635,"{1, 11, 18, 3, 21, 7, 26, 10, 28, 19, 2, 17, 14, 16, 30, 29, 20, 27, 15, 13, 9, 4, 24, 8, 25, 22, 5, 12, 6, 23, 1}",4.633635,0.000000,0.057842
"{1, 7, 26, 5, 12, 30, 22, 3, 9, 17, 8, 18, 27, 23, 2, 15, 28, 13, 11, 29, 16, 14, 10, 19, 6, 4, 24, 21, 25, 20, 1}",4.502669,"{1, 3, 9, 17, 8, 18, 27, 23, 2, 15, 28, 13, 11, 29, 10, 16, 14, 6, 4, 19, 21, 25, 24, 5, 12, 30, 22, 26, 20, 7, 1}",4.704092,0.044734,0.058003
"{1, 12, 17, 28, 30, 8, 3, 5, 7, 21, 16, 14, 26, 6, 29, 11, 27, 9, 13, 10, 18, 24, 23, 25, 4, 15, 19, 22, 2, 20, 1}",4.875315,"{1, 20, 2, 22, 19, 15, 4, 25, 23, 24, 18, 10, 7, 5, 21, 13, 9, 27, 11, 29, 14, 16, 26, 6, 30, 8, 3, 28, 17, 12, 1}",4.993066,0.024153,0.059951
"{1, 21, 13, 4, 14, 16, 15, 23, 26, 20, 22, 11, 27, 12, 28, 24, 18, 9, 7, 3, 5, 25, 29, 6, 17, 2, 19, 8, 30, 10, 1}",4.178873,"{1, 10, 30, 8, 2, 29, 25, 3, 5, 18, 24, 28, 12, 27, 11, 22, 9, 7, 6, 17, 19, 14, 16, 20, 26, 23, 15, 4, 13, 21, 1}",4.789006,0.146004,0.058141
"{1, 11, 19, 23, 14, 26, 29, 6, 18, 2, 27, 5, 3, 7, 22, 15, 17, 21, 30, 25, 24, 20, 16, 9, 10, 12, 28, 13, 8, 4, 1}",4.626705,"{1, 4, 8, 13, 28, 12, 10, 9, 16, 20, 24, 25, 30, 21, 17, 15, 22, 7, 3, 5, 27, 2, 18, 6, 29, 26, 14, 23, 19, 11, 1}",4.626704,0.000000,0.057748
"{1, 23, 29, 18, 5, 11, 26, 30, 17, 13, 4, 3, 25, 9, 27, 21, 19, 2, 10, 14, 7, 8, 22, 24, 15, 16, 12, 28, 6, 20, 1}",4.255025,"{1, 20, 28, 6, 12, 16, 15, 24, 22, 23, 8, 7, 14, 10, 2, 19, 21, 27, 9, 25, 3, 4, 17, 30, 26, 11, 13, 5, 18, 29, 1}",4.301766,0.010985,0.057976
"{1, 15, 22, 11, 6, 4, 12, 20, 10, 24, 13, 30, 29, 26, 25, 27, 14, 3, 2, 17, 23, 16, 19, 8, 18, 9, 21, 7, 28, 5, 1}",5.010605,"{1, 5, 28, 7, 21, 18, 9, 8, 19, 16, 23, 25, 27, 17, 2, 3, 14, 26, 29, 30, 13, 24, 10, 20, 12, 4, 6, 11, 22, 15, 1}",5.103498,0.018539,0.058863
"{1, 9, 17, 22, 11, 26, 10, 19, 2, 23, 7, 25, 29, 8, 16, 21, 20, 28, 12, 4, 14, 13, 6, 18, 24, 27, 5, 3, 30, 15, 1}",4.182723,"{1, 15, 30, 3, 5, 27, 24, 18, 6, 13, 14, 4, 28, 20, 21, 8, 16, 12, 29, 25, 17, 9, 11, 22, 7, 23, 2, 19, 10, 26, 1}",4.294414,0.026703,0.058347
"{1, 20, 3, 19, 9, 24, 18, 15, 5, 26, 16, 13, 27, 22, 11, 14, 28, 6, 12, 17, 30, 10, 21, 7, 25, 29, 4, 23, 2, 8, 1}",4.873118,"{1, 20, 29, 25, 7, 21, 10, 30, 17, 12, 6, 11, 14, 28, 5, 15, 24, 18, 26, 22, 27, 13, 16, 9, 19, 3, 2, 23, 4, 8, 1}",5.084270,0.043330,0.057846
"{1, 22, 27, 4, 23, 13, 2, 5, 8, 15, 3, 19, 10, 17, 24, 21, 12, 29, 26, 14, 16, 9, 30, 6, 28, 7, 11, 18, 25, 20, 1}",4.687612,"{1, 11, 7, 18, 25, 13, 17, 24, 21, 6, 28, 29, 30, 9, 16, 14, 26, 12, 10, 19, 3, 15, 8, 2, 5, 23, 4, 27, 22, 20, 1}",5.135746,0.095600,0.059790
"{1, 3, 16, 2, 30, 14, 27, 18, 10, 22, 20, 29, 8, 19, 11, 12, 4, 9, 6, 26, 17, 24, 7, 25, 13, 23, 5, 21, 28, 15, 1}",4.912171,"{1, 3, 16, 30, 14, 18, 27, 2, 4, 12, 10, 22, 20, 29, 8, 19, 11, 17, 24, 7, 25, 26, 9, 6, 13, 23, 15, 28, 5, 21, 1}",5.314065,0.081816,0.057902
"{1, 13, 5, 24, 20, 18, 25, 11, 17, 2, 7, 14, 22, 9, 10, 12, 15, 8, 29, 4, 26, 3, 27, 21, 16, 19, 6, 23, 30, 28, 1}",4.483251,"{1, 28, 30, 19, 23, 6, 16, 10, 9, 21, 27, 3, 26, 29, 4, 12, 15, 8, 7, 14, 22, 2, 17, 11, 25, 18, 20, 24, 5, 13, 1}",4.770592,0.064092,0.058127
